name,lat,lon,city,type,address,type_of_place,distance_from_company
Willow Children's Centre,51.557706,-0.122219,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.557706, -0.122219]}}","1A Holbrooke Ct, London, Greater London, N7 0BF",Nursery School,5.112013180165419
Bayonne Nursery,51.484499,-0.21421,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.484499, -0.21421]}}","Hammersmith, Greater London",Nursery School,5.258201259500468
Comet Nursery School & Children's Centre,51.535869,-0.08072,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.535869, -0.08072]}}","20 Halcomb St, London, N1 5RF",Nursery School,5.960432335852734
Lavender Hill Day Nursery,51.465225,-0.164764,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.465225, -0.164764]}}","204 Lavender Hill, London, Greater London, SW11 1JG",Nursery School,6.00407321434865
Monkey Puzzle Day Nursery,51.55663,-0.098494,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.55663, -0.098494]}}","Loxfords House, Highbury Park, London, Greater London, N5 1GF",Nursery School,6.0813788268348565
Busy Bees,51.463071,-0.188763,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.463071, -0.188763]}}",,Nursery School,6.499056879502246
Sunshine Nursery,51.483516,-0.240821,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.483516, -0.240821]}}","7 Stillingfleet Rd, London, SW13 9AQ",Nursery School,6.712314930323357
Maples Children's Centre,51.50896,-0.261411,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.50896, -0.261411]}}",,Nursery School,6.931170243125848
Bright Horizons Golders Green Day Nursery and Preschool,51.577102,-0.20569,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.577102, -0.20569]}}","212 Golders Green Rd, London, Greater London, NW11 9AT",Nursery School,7.093711738933437
Montessori by Busy Bees Green Gables,51.509091,-0.058476,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.509091, -0.058476]}}","4 Wapping Lane, London, Greater London, E1W 2RG",Nursery School,7.2932141583746315
Wapping Childrens Centre,51.505373,-0.059367,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.505373, -0.059367]}}","Poplar, Greater London",Nursery School,7.308288992809333
Monkey Puzzle Day Nursery,51.587315,-0.163798,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.587315, -0.163798]}}","Park House, 16 High Rd, London, Greater London, N2 9PJ",Nursery School,7.574031037984983
Chiswick Nursery,51.492719,-0.264829,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.492719, -0.264829]}}","Marlborough Rd, London, Greater London",Nursery School,7.663203146533623
Fortis Green Nursery,51.591015,-0.158611,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.591015, -0.158611]}}","70 Fortis Green, London, N2 9EP",Nursery School,7.989793429887745
Alice Model Nursery School,51.521101,-0.046489,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.521101, -0.046489]}}","14 Beaumont Grove, London, Greater London, E1 4NQ",Nursery School,8.037194306429182
Morningside Children's centre,51.546109,-0.050568,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.546109, -0.050568]}}",,Nursery School,8.307452543916506
Noddy's Nursery School,51.445821,-0.213574,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.445821, -0.213574]}}","Trinity Church Hall, Beaumont Rd, London, SW19 6SP",Nursery School,8.890310909731072
Nuffy Bear Nursery,51.445342,-0.196087,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.445342, -0.196087]}}","King Georges Sport Ground (Burr Road), London, Greater London, SW18 4SQ",Nursery School,8.53400087849768
Rosemary Works East,51.560096,-0.055566,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.560096, -0.055566]}}","London, Greater London, E5 8BQ",Nursery School,8.688068477924707
Maria Montessori Nursery School Within Church of the Ascension,51.522126,-0.287437,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.522126, -0.287437]}}","Beaufort Rd, London, W5 3EB",Nursery School,8.642763810479382
Hendon Preparatory School & Pre-School,51.591125,-0.216984,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.591125, -0.216984]}}","20 Tenterden Grove, London, Greater London, NW4 1TD",Nursery School,8.836716761841334
Bright Horizons Kew Day Nursery and Preschool,51.474076,-0.276563,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.474076, -0.276563]}}","Townmead Rd, Richmond, Greater London, TW9 4ES",Nursery School,9.349240810831057
Eastwood Day Nursery & Creche,51.452259,-0.244538,London,"{'typepoint': {'type': 'Point', 'coordinates': [51.452259, -0.244538]}}","166 Roehampton L, Greater London, SW15 4HE",Nursery School,9.359170570278176
